,series_id,night,onset,wakeup,sleep_hours
0,038441c925bb,1,22,6,8
1,038441c925bb,2,19,5,10
2,038441c925bb,3,23,5,6
3,038441c925bb,4,23,6,7
4,038441c925bb,6,22,7,9
5,038441c925bb,7,23,12,13
6,038441c925bb,8,0,8,8
7,038441c925bb,10,21,8,11
8,038441c925bb,11,21,2,5
9,038441c925bb,12,21,8,11
10,038441c925bb,13,22,8,10
11,038441c925bb,15,21,7,10
12,038441c925bb,16,22,6,8
13,038441c925bb,17,22,7,9
14,038441c925bb,18,20,7,11
15,038441c925bb,19,22,7,9
16,038441c925bb,20,22,6,8
17,038441c925bb,21,21,5,8
18,038441c925bb,22,21,1,4
19,03d92c9f6f8a,1,20,6,10
20,03d92c9f6f8a,2,20,6,10
21,03d92c9f6f8a,3,20,6,10
22,03d92c9f6f8a,5,21,7,10
23,03d92c9f6f8a,11,19,7,12
24,03d92c9f6f8a,12,20,7,11
25,03d92c9f6f8a,14,20,11,15
26,03d92c9f6f8a,15,20,6,10
27,0402a003dae9,1,0,6,6
28,0402a003dae9,2,22,6,8
29,0402a003dae9,6,23,2,3
30,0402a003dae9,7,1,6,5
31,0402a003dae9,8,22,6,8
32,0402a003dae9,9,19,1,6
33,0402a003dae9,10,22,6,8
34,0402a003dae9,11,22,6,8
35,0402a003dae9,12,21,9,12
36,0402a003dae9,13,23,7,8
37,0402a003dae9,14,1,7,6
38,0402a003dae9,15,22,5,7
39,0402a003dae9,16,0,7,7
40,0402a003dae9,17,23,9,10
41,0402a003dae9,18,6,10,4
42,0402a003dae9,20,2,9,7
43,0402a003dae9,21,3,7,4
44,0402a003dae9,22,5,8,3
45,04f547b8017d,2,20,6,10
46,04f547b8017d,3,19,3,8
47,04f547b8017d,5,20,6,10
48,04f547b8017d,6,21,6,9
49,04f547b8017d,7,21,7,10
50,04f547b8017d,8,21,6,9
51,04f547b8017d,9,22,6,8
52,04f547b8017d,10,21,8,11
53,04f547b8017d,11,21,7,10
54,04f547b8017d,12,20,7,11
55,04f547b8017d,13,21,6,9
56,04f547b8017d,14,21,8,11
57,04f547b8017d,15,22,7,9
58,04f547b8017d,16,21,7,10
59,04f547b8017d,18,21,8,11
60,04f547b8017d,19,21,8,11
61,04f547b8017d,21,21,8,11
62,04f547b8017d,22,22,8,10
63,04f547b8017d,24,21,7,10
64,04f547b8017d,25,21,8,11
65,04f547b8017d,26,20,8,12
66,05e1944c3818,2,22,8,10
67,05e1944c3818,3,23,9,10
68,05e1944c3818,4,22,7,9
69,05e1944c3818,5,1,7,6
70,05e1944c3818,6,0,7,7
71,05e1944c3818,7,22,7,9
72,05e1944c3818,8,22,8,10
73,062cae666e2a,1,0,11,11
74,062cae666e2a,2,0,8,8
75,062cae666e2a,13,22,7,9
76,062dbd4c95e6,1,23,8,9
77,062dbd4c95e6,4,0,11,11
78,062dbd4c95e6,5,23,7,8
79,062dbd4c95e6,6,23,9,10
80,062dbd4c95e6,9,23,9,10
81,062dbd4c95e6,10,23,8,9
82,062dbd4c95e6,11,0,8,8
83,062dbd4c95e6,14,20,8,12
84,062dbd4c95e6,15,0,8,8
85,062dbd4c95e6,20,22,8,10
86,062dbd4c95e6,24,23,9,10
87,062dbd4c95e6,25,0,9,9
88,062dbd4c95e6,26,23,9,10
89,062dbd4c95e6,27,23,9,10
90,08db4255286f,1,2,5,3
91,08db4255286f,2,1,5,4
92,08db4255286f,3,23,6,7
93,08db4255286f,4,21,6,9
94,08db4255286f,5,23,8,9
95,08db4255286f,6,2,9,7
96,08db4255286f,7,23,6,7
97,08db4255286f,8,22,6,8
98,08db4255286f,9,21,6,9
99,08db4255286f,10,23,6,7
100,08db4255286f,11,22,10,12
101,08db4255286f,12,3,8,5
102,08db4255286f,13,1,11,10
103,08db4255286f,14,4,11,7
104,08db4255286f,15,1,6,5
105,08db4255286f,16,23,5,6
106,08db4255286f,17,23,6,7
107,08db4255286f,18,23,8,9
108,08db4255286f,19,2,11,9
109,08db4255286f,20,2,4,2
110,08db4255286f,21,1,6,5
111,08db4255286f,22,23,5,6
112,08db4255286f,23,0,12,12
113,08db4255286f,24,6,12,6
114,08db4255286f,25,5,13,8
115,0a96f4993bd7,1,21,7,10
116,0a96f4993bd7,2,23,9,10
117,0a96f4993bd7,3,1,9,8
118,0a96f4993bd7,4,22,7,9
119,0a96f4993bd7,5,21,7,10
120,0a96f4993bd7,6,22,6,8
121,0a96f4993bd7,7,22,7,9
122,0a96f4993bd7,8,22,7,9
123,0a96f4993bd7,9,0,10,10
124,0a96f4993bd7,10,2,9,7
125,0a96f4993bd7,11,0,7,7
126,0a96f4993bd7,12,22,8,10
127,0a96f4993bd7,13,22,7,9
128,0a96f4993bd7,14,21,7,10
129,0a96f4993bd7,15,21,6,9
130,0cd1e3d0ed95,1,22,4,6
131,0cd1e3d0ed95,2,23,8,9
132,0cd1e3d0ed95,3,19,5,10
133,0cd1e3d0ed95,4,21,6,9
134,0cd1e3d0ed95,5,22,6,8
135,0cd1e3d0ed95,13,21,6,9
136,0ce74d6d2106,1,23,6,7
137,0ce74d6d2106,2,23,7,8
138,0ce74d6d2106,3,22,7,9
139,0ce74d6d2106,4,23,7,8
140,0ce74d6d2106,5,23,6,7
141,0ce74d6d2106,6,21,6,9
142,0ce74d6d2106,7,22,7,9
143,0ce74d6d2106,8,21,7,10
144,0ce74d6d2106,9,22,7,9
145,0ce74d6d2106,10,22,6,8
146,0ce74d6d2106,11,22,7,9
147,0ce74d6d2106,12,23,7,8
148,0ce74d6d2106,13,21,6,9
149,0ce74d6d2106,14,22,7,9
150,0ce74d6d2106,15,22,7,9
151,0ce74d6d2106,16,22,8,10
152,0ce74d6d2106,17,23,7,8
153,0ce74d6d2106,18,23,6,7
154,0ce74d6d2106,19,23,6,7
155,0ce74d6d2106,21,22,8,10
156,0ce74d6d2106,22,21,6,9
157,0ce74d6d2106,23,21,6,9
158,0ce74d6d2106,24,20,6,10
159,0ce74d6d2106,25,21,5,8
160,0ce74d6d2106,26,22,7,9
161,0ce74d6d2106,27,22,6,8
162,0ce74d6d2106,28,21,6,9
163,0ce74d6d2106,29,20,5,9
164,0ce74d6d2106,30,21,6,9
165,0ce74d6d2106,31,23,6,7
166,0ce74d6d2106,32,21,4,7
167,0cfc06c129cc,1,21,7,10
168,0cfc06c129cc,2,21,6,9
169,0cfc06c129cc,3,21,6,9
170,0cfc06c129cc,4,22,6,8
